DAIV,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,92,0,4,0,"0,9583333333",0,0,46,30,"0,3947368421",,,,,
DLF,40,0,59,0,"0,404040404",70,3,0,0,"0,9589041096",20,0,0,0,1
DX,10,18,65,0,"0,1075268817",21,6,31,10,"0,4558823529",18,2,0,0,"0,9"
FPT,85,1,8,0,"0,9042553191",60,14,1,0,"0,8",20,0,0,0,1
SV,94,0,2,0,"0,9791666667",67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,670664521",,,,,"0,702985742",,,,,"0,875"
,,,,,,,,,,,,,,,
Selforacle 9999,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,96,0,0,0,1,0,1,46,29,"0,3815789474",,,,,
DLF,99,0,0,0,1,70,3,0,0,"0,9589041096",20,0,0,0,1
DX,15,18,60,0,"0,1612903226",51,16,1,0,"0,75",18,2,0,0,"0,9"
FPT,93,1,0,0,"0,9893617021",61,14,0,0,"0,8133333333",20,0,0,0,1
SV,96,0,0,0,1,67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,8301304049",,,,,"0,7618443591",,,,,"0,875"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Extra Results,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Selforacle 95,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,86,0,10,0,"0,8958333333",0,0,46,30,"0,3947368421",,,,,
DLF,6,0,93,0,"0,06060606061",68,3,2,0,"0,9315068493",20,0,0,0,1
DX,9,18,66,0,"0,09677419355",24,16,28,0,"0,3529411765",18,2,0,0,"0,9"
FPT,80,0,13,1,"0,8617021277",60,14,1,0,"0,8",20,0,0,0,1
SV,92,0,4,0,"0,9583333333",66,7,1,0,"0,8918918919",6,4,0,0,"0,6"
AVG,,,,,"0,5746498097",,,,,"0,674215352",,,,,"0,875"
,,,,,,,,,,,,,,,
Selforacle 99,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,96,0,0,0,1,0,0,46,30,"0,3947368421",,,,,
DLF,32,0,67,0,"0,3232323232",70,3,0,0,"0,9589041096",20,0,0,0,1
DX,10,18,65,0,"0,1075268817",35,16,17,0,"0,5147058824",18,2,0,0,"0,9"
FPT,93,1,0,0,"0,9893617021",60,14,1,0,"0,8",20,0,0,0,1
SV,95,0,1,0,"0,9895833333",67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,6819408481",,,,,"0,7147504479",,,,,"0,875"
,,,,,,,,,,,,,,,
Selforacle 999,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,96,0,0,0,1,0,1,46,29,"0,3815789474",,,,,
DLF,84,0,15,0,"0,8484848485",70,3,0,0,"0,9589041096",20,0,0,0,1
DX,13,18,62,0,"0,1397849462",45,16,7,0,"0,6617647059",18,2,0,0,"0,9"
FPT,93,1,0,0,"0,9893617021",61,14,0,0,"0,8133333333",20,0,0,0,1
SV,96,0,0,0,1,67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,7955262994",,,,,"0,7441973003",,,,,"0,875"
,,,,,,,,,,,,,,,
Selforacle 99999,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,96,0,0,0,1,0,1,46,29,"0,3815789474",,,,,
DLF,99,0,0,0,1,70,3,0,0,"0,9589041096",20,0,0,0,1
DX,16,18,59,0,"0,1720430108",51,16,1,0,"0,75",18,2,0,0,"0,9"
FPT,93,1,0,0,"0,9893617021",61,14,0,0,"0,8133333333",20,0,0,0,1
SV,96,0,0,0,1,67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,8322809426",,,,,"0,7618443591",,,,,"0,875"
